ID,Tâche ID,Membre ID,Score,Commentaire
1,101,2,8,Travail bien fait, mais manque de détails dans la finition.
2,102,3,6,Attente de matériaux, mais l’organisation du travail était bonne.
3,103,4,7,Réparation effectuée correctement, mais nécessite un suivi.
4,104,7,10,Sécurisation du serveur impeccable.
5,105,15,5,Manque de ressources nécessaires pour avancer.
6,106,10,9,Audit précis, recommandations respectées.
7,107,13,7,En attente d'approbation, mais planification solide.
8,108,12,8,Mur propre et bien restauré, mais nécessite un second coup de peinture.
9,109,16,6,Formation incomplète, travail à revoir.
10,110,8,10,Travail parfaitement exécuté avec un résultat immédiat.
11,111,3,5,En attente de tuyaux, tâche inachevée.
12,112,12,10,Nettoyage efficace et soigné.
13,113,15,9,Inspection réalisée avec succès.
14,114,11,6,Fuites partiellement réparées, mais besoin de pièces.
15,115,5,10,Aire de jeux prête et sécurisée, parfaite pour l’usage public.
16,116,14,7,Autorisation toujours en attente.
17,117,7,8,Configuration en cours, mais tout semble bien organisé.
18,118,5,9,Jardin planté avec soin, mais nécessite plus de variétés de plantes.
19,119,13,6,Réparation en cours, des matériaux sont nécessaires.
20,120,8,10,Réseau Wi-Fi fonctionnel et amélioré.
21,121,9,8,Le site web est fonctionnel, mais un peu trop basique.
